del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
29,25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,OFF,UNT,,referring hillary know tiresome bernie supporters bashing hillary clinton actual democrat raises money democratic party bash positive message dividing left
30,81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,NOT,,,glad see friends supporting metis rights much supporting zionists url
31,82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,NOT,,,yes asking movie ‍ ♂ ️
32,12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,OFF,TIN,GRP,thing democrats lying stalling stop trump done lately
33,13017,@USER No wonder he is being apologetic and more social these day....,NOT,,,wonder apologetic social day
34,18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,NOT,,,updates ending blatant proves url
35,70380,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,NOT,,,know going happen going lay bed cry listen kelly clarkson thanks free speech antifa
36,12108,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,OFF,TIN,IND,smart think gen flynn sentencing keeps rescheduled url
37,14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,OFF,TIN,GRP,expected placate violent leftists terrorists
38,74358,@USER Blow hard,NOT,,,blow hard
39,82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,NOT,,,means max lvl twitter user maybe try new game
40,40212,"@USER @USER Please explain what controlled opposition"" means.  As for Bernier escaping, he split with the rest of the Conservatives because he's even more racist and exclusionary than they want to be.""",NOT,,,please explain controlled opposition means bernier escaping split rest conservatives even racist exclusionary want
41,78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,NOT,,,socialists politics stand downtrodden well done conflating criticism israel anti semitism also part problem
42,66596,3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should've trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.,NOT,,,nina one reasons read book long worried character trusted everyone nina goddamn goddess would die thousand times big bold lovely perfect arc perfect
43,70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,NOT,,,please vote kavanaugh fit scotus allegations women shady financials disqualify matters
44,36026,"@USER @USER Ppl who say I'm not racist"" are racist. You Are A Racist. Repeat after me""",NOT,,,ppl say racist racist racist repeat
45,29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,NOT,,,kathy patriot love great president trump spine steel changing trade everything americans
46,74477,@USER Wow you liberals really don’t have a sense of humor.🙄,NOT,,,wow liberals really sense humor
47,49845,@USER I'M SO FUCKING READY,NOT,,,fucking ready
48,32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,NOT,,,holy moly catholic people awakened
49,77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT,,,lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc
50,73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,NOT,,,surprise antifa blm soros americas worst enemy history believes way take usa withing hes right gunna happen
51,47311,@USER Me too! Her wedding was the best! She is very pretty!,NOT,,,wedding best pretty
52,48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,NOT,,,conflict look involved violent left agenda antifa also
53,75689,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,NOT,,,url announcements every come fruition basically stealing labour ideas get votes
54,84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,OFF,TIN,GRP,british people basically full racists voters vote conservatives coincidence
55,10607,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,NOT,,,advocates must stop falling assure electorate love horrific url
56,43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,NOT,,,love huge fan camila mendes would alright used tweet promotional material
57,98992,@USER Fuck off,OFF,TIN,IND,fuck
58,92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,NOT,,,certainly weird view toward margaret sanger geonicidal philosophy aborting minorities like know black population suffers shares opinion
59,33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",OFF,TIN,OTH,prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like 500 inmates went missing
60,75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,OFF,TIN,IND,useless attempts right thing never follows
61,96218,#WalkAway liberals......Your party is POISON. URL,NOT,,,liberals party poison url
62,57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,OFF,TIN,IND,grateful trump dog white house cruel man
63,20883,@USER You are lying. Stick with the facts. We pay more than that now.,NOT,,,lying stick facts pay
64,74831,@USER Trump kicks dem butt - its so fun.,OFF,TIN,IND,trump kicks dem butt fun
65,53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,OFF,TIN,IND,dumb dumber one president two one
66,28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,NOT,,,minister attempted expense £ charity donation url
67,42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,NOT,,,straight forword man saw dance dewwane talk free kitnay porrany industry mein really like quality even gather senior artist love
68,84664,@USER And this from the clown that should be in prison?,OFF,TIN,IND,clown prison
69,54842,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,NOT,,,twitter silence alex jones retaliation asking twitter jack questions url
70,48995,@USER Thats because you are an old man.,OFF,TIN,IND,thats old man
71,47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,OFF,TIN,OTH,obstructionists anti american pharisees ask running get nothing maga
72,76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",NOT,,,represent alinskyite orwellian leftist toolfool view things like marxistsantifa similar psst b4u use words fascist fascism ahead read souza book big lie right know squat either
73,27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",NOT,,,remember somehow centrist antifa haters never quite seem bring condemn things
74,64429,@USER I mean it worked for gun control right? URL,OFF,TIN,GRP,mean worked gun control right url
75,20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,NOT,,,think last thing trump mind april ryan needs stop flattering important thinks
76,78064,@USER Principled conservatives are #Hypocrickets,NOT,,,principled conservatives
77,14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,NOT,,,forget democrat backed
78,72353,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,NOT,,,beautiful person teach values kids teaching royalty keep keep going heads stay real ❤ ️
79,39051,@USER Bring out his Antifa criminal son to campaign for him,NOT,,,bring antifa criminal son campaign
80,54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,NOT,,,watch watch watching september 11th stories came together stood shoulder shoulder made proud even issues yet people playing damn game cannot stand moment protest saturday
81,50759,A tear is made of 1% water and 99% feelings.,NOT,,,tear made water feelings
82,75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",NOT,,,trump addresses gun control representing nra let says url
83,45068,@USER She is drinking so much koolaid she’s bloated.,OFF,TIN,IND,drinking much koolaid bloated
84,17259,@USER Holder needs to be prosecuted,NOT,,,holder needs prosecuted
85,95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,NOT,,,players women women color
86,84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,OFF,TIN,IND,institution let tweet behaves window licker
87,14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT,,,babysitting kids people old think three kids dont get mad get mad know know
88,23784,@USER well...? URL,NOT,,,well url
89,93119,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,OFF,TIN,IND,wtc threat url
90,30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",NOT,,,easily digestible content need nuance even understand story show picture antifa get base level emotional response content requires order profitable
91,69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,NOT,,,try looking plain old democrats liberals ones conversation
92,15322,@USER Great news! Old moonbeam Just went into a coma! 😂,NOT,,,great news old moonbeam went coma
93,75089,@USER OMG HE IS SO EXTRA ILY,NOT,,,omg extra ily
94,21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,OFF,TIN,IND,please call trump narcissistic sociopath
95,43133,@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.,NOT,,,unfortunately america system like would called racist liberals believe exams racist minority groups
96,52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,NOT,,,know still alive wondering career railroaded odd loved especially day
97,59537,@USER @USER Guy you are always present...bet why? Lol,NOT,,,guy always present bet lol
98,44209,@USER @USER what a baby! URL,NOT,,,baby url
99,96664,@USER you are very persuasive fam,NOT,,,persuasive fam
100,12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,NOT,,,nothing new going vote anyway vote liberals november url
101,61914,@USER Burt. A cool dude.,NOT,,,burt cool dude
102,32317,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,NOT,,,follow follow back
103,94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT,,,thank finally point okay using heat happy
104,64835,@USER Kind of like what trump does all the time huh?,NOT,,,kind like trump time huh
105,41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOT,,,former antifa white house arrest citizen arrest someone explain
106,52252,@USER Fuck em,OFF,TIN,GRP,fuck
107,91001,@USER Good move....he is the big loser,OFF,TIN,IND,good move big loser
108,18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,NOT,,,let get bottom zipcode check back make sure enjoying best offer asap nevinbruce
109,76680,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,NOT,,,record know doug jones personally sen credible choice next election
110,88013,@USER The president’s feelings are totally opposite of CNN’s feelings. So what does that say about CNN? They’re all liberals.,NOT,,,president feelings totally opposite cnn feelings say cnn liberals
111,66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",OFF,UNT,,literally narrative par nazis punch antifa punch two sides coin noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash
112,80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,OFF,TIN,IND,many dumb arguments gun control may dumbest common
113,16052,@USER she is idk what's going on,NOT,,,idk going
114,49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,NOT,,,yall need chill really abysmal 2nd half rizzo abysmal 1st half baseball happens things still needs work yes power numbers dropped yes could bounce back anytime url
115,77086,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,NOT,,,dude old lmao pack
116,10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,NOT,,,trump supporters even wear hat without abused meet animals left attack antifa branch communist socialist nazis democrat party
117,69160,@USER The laughs I’ve gotten from you are enough. 😌,NOT,,,laughs gotten enough
118,28380,@USER @USER @USER well?,NOT,,,well
119,40252,@USER @USER @USER First of all— they don’t even have pizza at Panera,NOT,,,first even pizza panera
120,39907,@USER @USER @USER please don't kill me. antifa on the other hand...,OFF,TIN,IND,please kill antifa hand
121,16164,@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you’re out there BUT maybe it’s not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.,NOT,,,see shanahan say spoon 100 healthy game obviously excuses maybe doom sort thing seemed game maybe still pretty good
122,52824,@USER Good girl @USER,NOT,,,good girl
123,77294,@USER @USER She is an ugly black hearted troll URL,OFF,TIN,IND,ugly black hearted troll url
124,13420,@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.,NOT,,,clearly pokemon master almost 400 rare candy alone 150 legacy moveset pokemon depends like keep collection pieces value game
125,16940,@USER Dont believe the hype.,OFF,UNT,,dont believe hype
126,83816,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,NOT,,,followed new maga please follow back
127,99156,#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL,NOT,,,reported except fan one says getting worse even type doomed lose realises soon url
128,11255,"@USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.""""",NOT,,,liberals would still vote claim comments taken context still man integrity
129,28841,@USER @USER We have been saved from you! MAGA!,OFF,TIN,IND,saved maga
130,79060,@USER You are bringing up honor and decency? With that yoyo in the picture? That's rich.,NOT,,,bringing honor decency yoyo picture rich
131,71682,@USER Good riddance.,NOT,,,good riddance
132,17577,@USER She is a goddess,NOT,,,goddess
133,27503,"@USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing..."" and the rest standin there like ""....nope he is no suffering"" ""so he is dead!"" ""...yeah, pretty dead""""",NOT,,,omg worst best case best cuase made laught part asking dead hurts poor thing rest standin like nope suffering dead yeah pretty dead
134,59998,"@USER You can probably imagine all the SJW snowflakes that don't feel safe"" working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.""",OFF,TIN,IND,probably imagine sjw snowflakes feel safe working might conservatives lurking shadows conservatives ruskies 21st century
135,81119,@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!,NOT,,,see may light even last election conservatives split coming tory partyvery soon
136,28812,@USER This all I get 😢 damn these haters deleting you IG for no reason... URL,OFF,TIN,GRP,get damn haters deleting reason url
137,84131,@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?,NOT,,,think canadian liberals actually blame trudeau costs per standard push
138,23179,@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.,NOT,,,warned everyone josh gordon last months daily basis sure shocked transpired today
139,28601,@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL,NOT,,,liberals read read url
140,64776,@USER SJSHSJ THATS MY JOB BITCH,OFF,TIN,IND,sjshsj thats job bitch
141,95712,@USER Do they discuss Haiti?,NOT,,,discuss haiti
142,69972,@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat,OFF,TIN,IND,part collusion get dumocrat
143,37115,@USER He is very skilled😂😂,NOT,,,skilled
144,80696,@USER You are amazing 💛💛💛,NOT,,,amazing
145,68163,@USER Fist pump was for the troops.,NOT,,,fist pump troops
146,96789,"@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!""",OFF,TIN,GRP,reason farakans illegal values black muslim would reason detest believe illegal values simply result bad character like supporters
147,68629,@USER Let the leftist democrats riot in the streets with their antifa counterparts.,OFF,TIN,IND,let leftist democrats riot streets antifa counterparts
148,66109,@USER I thought Canada had strict gun control.  Help me understand what is happening.,NOT,,,thought canada strict gun control help understand happening
149,19419,@USER They don’t want you following people because they don’t like conservatives! Sickening  how biased Twitter’s management is. #TwitterLeftBias,NOT,,,want following people like conservatives sickening biased twitter management
150,32942,@USER He is doing life tho😑,NOT,,,life tho
151,74285,@USER It's SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP,NOT,,,important midterms get word want people color believe support know false word spread even need know
152,77319,@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.,OFF,TIN,IND,antifa giving death threats professor ford threatening violence candidate loses spanky impeached
153,30517,@USER @USER @USER Have you seen or listened to your ANTIFA pals?,NOT,,,seen listened antifa pals
154,69077,@USER @USER In case of antifa take a little bat or something. Good for you- more of should do that kind of thing.,NOT,,,case antifa take little bat something good kind thing
155,67758,@USER Your titles scare me a little bit. ;-),NOT,,,titles scare little bit
156,35944,@USER &gt;Eradicating HIV and Malaria in the middle of Africa  Good bloody luck,NOT,,,eradicating hiv malaria middle africa good bloody luck
157,48223,@USER @USER The only interaction of Tory volunteers with FCP volunteers that I witnessed today was the one demanding that our float be moved to the back of the parade. #ableg #cdnpoli,NOT,,,interaction tory volunteers fcp volunteers witnessed today one demanding float moved back parade
158,47168,@USER And who seems to be getting things done.,NOT,,,seems getting things done
159,53947,I added a video to a @USER playlist URL Combat mon frere vs Ismael et Maga assassin vs David le boxer (YFC 2),NOT,,,added video playlist url combat mon frere ismael maga assassin david boxer yfc
160,49504,@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!,OFF,TIN,GRP,law changed make allegation days guilty proven innocent liberals mentally ill
161,66291,@USER Straight up different.  Thank Joe Biden for that one.  I also wonder the outcome if her name had been Antifa Hill.,NOT,,,straight different thank joe biden one also wonder outcome name antifa hill
162,31229,@USER This game sucks donkey balls,OFF,TIN,GRP,game sucks donkey balls
163,75850,@USER Yo for real you are gorgeous,NOT,,,real gorgeous
164,88546,@USER Absolutely should be a nail in the coffin.... for Hilliary,OFF,TIN,IND,absolutely nail coffin hilliary
165,29241,@USER @USER I hope he gets on twitter so I can tell him how amazing he is. ❤😄,NOT,,,hope gets twitter tell amazing ❤
166,19842,@USER Who are “they” Gun control has been tried and is a proven failure. This is why people don’t vote democrat. They refuse to admit reality. Gun control doesn’t work.,NOT,,,gun control tried proven failure people vote democrat refuse admit reality gun control work
167,69232,@USER So the overwhelming liberals in the populated states can make policy for the rest of America with whom they have no clue about.  Just because California has the biggest population does not mean the U.S. shares in their values.  Get a clue Hillary.,NOT,,,overwhelming liberals populated states make policy rest america clue california biggest population mean shares values get clue hillary
168,36471,@USER @USER Doesn't he partly fund Antifa?,NOT,,,partly fund antifa
169,32897,@USER He is a DUMBASS !!!!!,OFF,TIN,IND,dumbass
170,62072,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,OFF,TIN,GRP,wanting gun control many wonder heck want freedoms taken away selective freedoms url
171,95444,@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL,OFF,TIN,IND,point time think pres trump gives neither lol url
172,51172,@USER @USER O.K. Conservatives get to the polls. Vote red.,NOT,,,conservatives get polls vote red
173,62481,@USER donnie jr. you and your family owe the country an apology for taking your criminal activities into OUR White House You are lining your pockets while your father is unfit and making a mockery of our republic. Shame on you and your family. Justice will prevail,OFF,TIN,IND,donnie family owe country apology taking criminal activities white house lining pockets father unfit making mockery republic shame family justice prevail
174,71895,"A Harvard/Harris Poll conducted this year found that 48 percent of black Americans said they would like to see between only one and 250,000 legal immigrants brought to the U.S. a year."" URL #MAGA #tcot""",NOT,,,harvard harris poll conducted year found percent black americans said would like see one 250 000 legal immigrants brought year url
175,78366,@USER Any doubt that @USER have officially become The National Socialist American Workers Party is gone. With ppl like those on @USER and @USER acting as Der Sturmer and #Antifa as their Einsatzgruppen/Waffen SS detachment.,NOT,,,doubt officially become national socialist american workers party gone ppl like acting der sturmer einsatzgruppen waffen detachment
176,39021,@USER Oh my Carmen. He is SO FRICKING CUTE,OFF,TIN,IND,carmen fricking cute
177,68840,@USER Chelsea is as crazy as her mother,OFF,TIN,IND,chelsea crazy mother
178,96837,@USER It's time the #Conservatives #binnedBoris and sent 'lyin Lynton back to Australia.,NOT,,,time sent lyin lynton back australia
179,51815,@USER @USER @USER The 2015 manifesto promised me my vote back. So where is it? You think Brexit would have gone through if all the Brits in the EU27 had been allowed to vote? The referendum was gerrymandered.,NOT,,,2015 manifesto promised vote back think brexit would gone brits eu27 allowed vote referendum gerrymandered
